delta,‘äŒ`•ªŠ„,‹éŒ`•ªŠ„
1,2,4
2,2.732051,3.732051
3,2.917553,3.58422
4,2.995709,3.495709
5,3.037049,3.437049
6,3.061983,3.395316
7,3.078372,3.364086
8,3.089819,3.339819
9,3.098185,3.320408
10,3.104518,3.304518
11,3.109448,3.291266
12,3.113375,3.280042
13,3.116562,3.270409
14,3.119192,3.262049
15,3.121391,3.254725
16,3.123253,3.248253
17,3.124845,3.242492
18,3.12622,3.237331
19,3.127416,3.232679
20,3.128465,3.228465
21,3.12939,3.224629
22,3.130212,3.221121
23,3.130946,3.217902
24,3.131603,3.214937
25,3.132196,3.212196
26,3.132733,3.209656
27,3.13322,3.207294
28,3.133664,3.205093
29,3.13407,3.203036
30,3.134443,3.20111
31,3.134786,3.199302
32,3.135102,3.197602
33,3.135395,3.196001
34,3.135666,3.19449
35,3.135918,3.193061
36,3.136153,3.191708
37,3.136372,3.190426
38,3.136576,3.189208
39,3.136768,3.18805
40,3.136948,3.186948
41,3.137117,3.185897
42,3.137275,3.184894
43,3.137425,3.183937
44,3.137566,3.183021
45,3.1377,3.182144
46,3.137826,3.181304
47,3.137945,3.180499
48,3.138059,3.179725
49,3.138166,3.178983
50,3.138269,3.178269
51,3.138366,3.177581
52,3.138458,3.17692
53,3.138547,3.176282
54,3.138631,3.175668
55,3.138711,3.175075
56,3.138788,3.174502
57,3.138861,3.173949
58,3.138932,3.173415
59,3.138999,3.172897
60,3.139064,3.172397
61,3.139126,3.171912
62,3.139185,3.171443
63,3.139242,3.170988
64,3.139297,3.170547
65,3.13935,3.170119
66,3.1394,3.169703
67,3.139449,3.1693
68,3.139496,3.168908
69,3.139542,3.168527
70,3.139586,3.168157
71,3.139628,3.167797
72,3.139669,3.167446
73,3.139708,3.167105
74,3.139746,3.166773
75,3.139783,3.16645
76,3.139818,3.166134
77,3.139853,3.165827
78,3.139886,3.165527
79,3.139919,3.165235
80,3.13995,3.16495
81,3.13998,3.164671
82,3.14001,3.1644
83,3.140038,3.164134
84,3.140066,3.163875
85,3.140093,3.163622
86,3.140119,3.163374
87,3.140144,3.163132
88,3.140169,3.162896
89,3.140193,3.162664
90,3.140216,3.162438
91,3.140238,3.162216
92,3.14026,3.162
93,3.140282,3.161787
94,3.140303,3.161579
95,3.140323,3.161376
96,3.140343,3.161176
97,3.140362,3.160981
98,3.140381,3.160789
99,3.140399,3.160601
100,3.140417,3.160417
