delta,pi
1,2.000000
2,2.732051
3,2.917553
4,2.995709
5,3.037049
6,3.061983
7,3.078372
8,3.089819
9,3.098185
10,3.104518
11,3.109448
12,3.113375
13,3.116562
14,3.119192
15,3.121391
16,3.123253
17,3.124845
18,3.126220
19,3.127416
20,3.128465
21,3.129390
22,3.130212
23,3.130946
24,3.131603
25,3.132196
26,3.132733
27,3.133220
28,3.133664
29,3.134070
30,3.134443
31,3.134786
32,3.135102
33,3.135395
34,3.135666
35,3.135918
36,3.136153
37,3.136372
38,3.136576
39,3.136768
40,3.136948
41,3.137117
42,3.137275
43,3.137425
44,3.137566
45,3.137700
46,3.137826
47,3.137945
48,3.138059
49,3.138166
50,3.138269
51,3.138366
52,3.138458
53,3.138547
54,3.138631
55,3.138711
56,3.138788
57,3.138861
58,3.138932
59,3.138999
60,3.139064
61,3.139126
62,3.139185
63,3.139242
64,3.139297
65,3.139350
66,3.139400
67,3.139449
68,3.139496
69,3.139542
70,3.139586
71,3.139628
72,3.139669
73,3.139708
74,3.139746
75,3.139783
76,3.139818
77,3.139853
78,3.139886
79,3.139919
80,3.139950
81,3.139980
82,3.140010
83,3.140038
84,3.140066
85,3.140093
86,3.140119
87,3.140144
88,3.140169
89,3.140193
90,3.140216
91,3.140238
92,3.140260
93,3.140282
94,3.140303
95,3.140323
96,3.140343
97,3.140362
98,3.140381
99,3.140399
100,3.140417
